scoring_method,domain,trial_type,ci_width_proportion_mean,variance,ci_width_proportion_mean_logit
*D* scores SEM CIs,Stigma - ADHD,tt2,0.4119850187265918,1e-4,-0.3557654395558914
*D* scores SEM CIs,Stigma - ADHD,tt3,0.4457364341085271,1e-4,-0.21791250189665753
*D* scores SEM CIs,Stigma - ADHD,tt4,0.4128787878787879,1e-4,-0.3520772346901029
*D* scores SEM CIs,Stigma - PTSD,tt1,0.38759689922480617,1e-4,-0.45742484703887554
*D* scores SEM CIs,Stigma - PTSD,tt2,0.42292490118577075,1e-4,-0.3107777872464302
*D* scores SEM CIs,Stigma - PTSD,tt3,0.3838383838383838,1e-4,-0.4732877044469254
*D* scores SEM CIs,Stigma - PTSD,tt4,0.3937282229965156,1e-4,-0.4316674805021889
*D* scores SEM CIs,Stigma - Schizophrenia,tt1,0.482608695652174,1e-4,-0.06959329179919488
*D* scores SEM CIs,Stigma - Schizophrenia,tt2,0.4291497975708502,1e-4,-0.285320796266101
*D* scores SEM CIs,Stigma - Schizophrenia,tt3,0.4166666666666667,1e-4,-0.33647223662121273
*D* scores SEM CIs,Stigma - Schizophrenia,tt4,0.41132075471698115,1e-4,-0.35850812502039325
*D* scores SEM CIs,Valenced words,tt1,0.3660130718954249,1e-4,-0.5493592877682333
*D* scores SEM CIs,Valenced words,tt2,0.4207119741100324,1e-4,-0.31985135538517223
*D* scores SEM CIs,Valenced words,tt3,0.40397350993377484,1e-4,-0.3889358061569538
*D* scores SEM CIs,Valenced words,tt4,0.3445378151260504,1e-4,-0.6431367599852839
